ordinal,id_plataforma,paginas,classe_aderencia,status_banco,assunto,subassunto,item_primario,itens_secundarios,tipo_correspondencia,confianca,texto_completo,cinco_alternativas,caracteristicas,elemento_visual_recuperado,extracao_suficiente,gabarito_origem,resposta_operacional,anulacao_oficial_identificada_no_acervo,conflito_gabarito_detectado_fontes_disponiveis,grupo_duplicata,registro_principal,apta_estudo,potencial_simulado,resultado_recuperacao_v2,motivos
66,4001580949,25,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem dimensional,"Data Warehouse, OLAP e estruturas dimensionais",Modelagem dimensional,Data warehouse com ETL e OLAP,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,66,sim,sim,,
67,4001580952,25,ADERENTE_PARCIAL,ADERENTE_PARCIAL,Engenharia de software,Modelagem UML,"Modelagem conceitual, lógica e física","Design de software, arquitetura hexagonal, microsserviços, API gateway, containers e transações distribuídas",parcial,média,sim,sim,diagrama,não,sim,oficial definitivo,A,não,não,,67,sim,sim,,
69,4001580958,"26,27",ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,Mapeamento objeto-relacional,"Modelagem conceitual, lógica e física",,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,E,não,não,,69,sim,sim,,
70,4001580959,27,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,Mapeamento objeto-relacional,"Modelagem conceitual, lógica e física",,direta,alta,sim,sim,tabela,sim,sim,plataforma secundária,D,não,não,,70,sim,sim,RECUPERADA_INTEGRALMENTE,
71,4001580960,"27,28",ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,Mapeamento objeto-relacional,"Modelagem conceitual, lógica e física",,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,C,não,não,,71,sim,sim,,
72,4001580964,28,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,Integridade referencial,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,B,não,não,,72,sim,sim,,
73,4001580966,"28,29",ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem dimensional,"Data Warehouse, OLAP e estruturas dimensionais",Modelagem dimensional,Data warehouse com ETL e OLAP,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,B,não,não,,73,sim,sim,,
74,4001584927,29,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,E,não,não,,74,sim,sim,,
75,4001584931,"29,30",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,C,não,não,,75,sim,sim,,
77,4001592210,31,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,diagrama,não,sim,plataforma secundária,D,não,não,,77,sim,sim,,
79,4001592291,"31,32",ADERENTE_DIRETA,ADERENTE_DIRETA,Transações,"ACID, concorrência e transações distribuídas",Propriedades de banco de dados,SGBD,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,79,sim,sim,,
81,4001593196,"32,33",ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,C,não,não,,81,sim,sim,,
82,4001626823,33,ADERENTE_DIRETA,ADERENTE_DIRETA,Metadados,Metadados e catálogo de dados,Metadados,SGBD,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,82,sim,sim,,
83,4001626824,33,ADERENTE_DIRETA,ADERENTE_DIRETA,Big Data e Data Lake,Data lakes e soluções para big data,Data lakes e soluções para big data,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,83,sim,sim,,
86,4001628349,34,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Dependências funcionais e formas normais,Normalização,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,86,sim,sim,RECUPERADA_INTEGRALMENTE,
87,4001628365,"34,35",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,C,não,não,,87,sim,sim,,
89,4001628519,35,ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD",SGBD,,parcial,média,sim,sim,tabela,não,sim,plataforma secundária,A,não,não,,89,sim,sim,,
90,4001628520,35,ADERENTE_PARCIAL,ADERENTE_PARCIAL,Qualidade de dados,Data profiling e diagnóstico de qualidade,Mapeamento de fontes e técnicas de coleta de dados,"Inteligência Artificial, Análise de Dados e Big Data",parcial,média,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,90,sim,sim,RECUPERADA_INTEGRALMENTE,
92,4001629063,36,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,E,não,não,,92,sim,sim,,
93,4001629078,36,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,D,não,não,,93,sim,sim,,
94,4001629084,"36,37",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",DDL,"Integridade referencial | Modelagem conceitual, lógica e física",direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,B,não,não,,94,sim,sim,,
95,4001629088,37,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Dependências funcionais e formas normais,Normalização,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,95,sim,sim,RECUPERADA_INTEGRALMENTE,
96,4001629094,"37,38",ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Dependências funcionais e formas normais,Normalização,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,96,sim,sim,,
97,4001629096,38,ADERENTE_DIRETA,ADERENTE_DIRETA,Transações,"ACID, concorrência e transações distribuídas",Propriedades de banco de dados,SGBD,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,97,sim,sim,,
98,4001629102,38,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,E,não,não,,98,sim,sim,,
99,4001629105,"38,39",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,B,não,não,,99,sim,sim,,
100,4001629112,"39,40",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,B,não,não,,100,sim,sim,,
101,4001629114,40,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,D,não,não,,101,sim,sim,,
102,4001669760,"40,41",ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD",SGBD,,parcial,média,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,102,sim,sim,,
103,4001669761,41,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,103,sim,sim,,
104,4001678626,41,ADERENTE_DIRETA,ADERENTE_DIRETA,Dados estruturados,"Dados estruturados, semiestruturados e não estruturados",Dados estruturados e não estruturados,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,104,sim,sim,,
105,4001678670,"41,42",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,Abordagem relacional e multidimensional,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,105,sim,sim,,
106,4001692329,42,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,106,sim,sim,,
107,4001693037,"42,43",ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD",SGBD,,parcial,média,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,107,sim,sim,,
110,4001699306,"43,44",ADERENTE_DIRETA,ADERENTE_DIRETA,Metadados,Metadados e catálogo de dados,Metadados,SGBD,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,110,sim,sim,,
111,4001725054,44,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,E,não,não,,111,sim,sim,,
113,4001730174,"44,45",ADERENTE_DIRETA,ADERENTE_DIRETA,NoSQL,Elasticsearch e pipelines de ingestão,"ETL/ELT, transferência de arquivos e integração via base de dados",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,113,sim,sim,,
116,4001730204,"45,46",ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD",SGBD,,parcial,média,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,116,sim,sim,,
117,4001730206,46,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,117,sim,sim,,
119,4001730221,"46,47",ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD","Modelagem conceitual, lógica e física",,parcial,média,sim,sim,tabela,não,sim,plataforma secundária,E,não,não,,119,sim,sim,,
120,4001730229,47,ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD",SGBD,,parcial,média,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,120,sim,sim,,
122,4001730584,"47,48",ADERENTE_PARCIAL,ADERENTE_PARCIAL,Normalização,Dependências funcionais e formas normais,Normalização,,parcial,média,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,122,sim,sim,,
123,4001784130,48,ADERENTE_PARCIAL,ADERENTE_PARCIAL,Programação,"Linguagens, frameworks e código de aplicação","Modelagem conceitual, lógica e física",,parcial,média,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,123,sim,sim,,
125,4001787988,49,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,diagrama,não,sim,plataforma secundária,E,não,não,,125,sim,sim,,
126,4001787993,49,ADERENTE_DIRETA,ADERENTE_DIRETA,Integração de dados,"ETL, preparação e ingestão de dados","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,126,sim,sim,RECUPERADA_INTEGRALMENTE,
127,4001787997,"49,50",ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem dimensional,"Data Warehouse, OLAP e estruturas dimensionais","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,127,sim,sim,,
129,4001789705,"50,51",ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,129,sim,sim,,
130,4001849511,51,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem dimensional,"Data Warehouse, OLAP e estruturas dimensionais",Modelagem dimensional,Data warehouse com ETL e OLAP,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,130,sim,sim,,
131,4001856646,51,ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD",SGBD,,parcial,média,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,131,sim,sim,,
133,4001857630,52,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Dependências funcionais e formas normais,Normalização,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,133,sim,sim,RECUPERADA_INTEGRALMENTE,
134,4001857633,52,ADERENTE_DIRETA,ADERENTE_DIRETA,Integração de dados,"ETL, preparação e ingestão de dados","ETL/ELT, transferência de arquivos e integração via base de dados",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,134,sim,sim,RECUPERADA_INTEGRALMENTE,
136,4001857637,53,ADERENTE_PARCIAL,ADERENTE_PARCIAL,Qualidade de dados,Data profiling e diagnóstico de qualidade,"Modelagem conceitual, lógica e física",,parcial,média,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,136,sim,sim,,
137,4001875849,53,ADERENTE_DIRETA,ADERENTE_DIRETA,Transações,"ACID, concorrência e transações distribuídas",Propriedades de banco de dados,SGBD,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,137,sim,sim,,
138,4001892993,"53,54",ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,138,sim,sim,,
139,4002467513,54,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Dependências funcionais e formas normais,Normalização,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,139,sim,sim,,
141,4001469833,54,ADERENTE_DIRETA,ADERENTE_DIRETA,Integração de dados,"ETL, ELT, ingestão e preparação","ETL/ELT, transferência de arquivos e integração via base de dados",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,141,sim,sim,,
142,4001755458,55,ADERENTE_DIRETA,ADERENTE_DIRETA,Transações,"ACID, concorrência e transações distribuídas",Propriedades de banco de dados,SGBD,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,142,sim,sim,,
143,4001677862,55,ADERENTE_PARCIAL,ADERENTE_PARCIAL,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,parcial,média,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,143,sim,sim,,
144,4001747595,55,ADERENTE_DIRETA,ADERENTE_DIRETA,Programação,"Linguagens, frameworks e código de aplicação","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,144,sim,sim,,
145,4001748926,"55,56",ADERENTE_DIRETA,ADERENTE_DIRETA,Dados estruturados,"Dados estruturados, semiestruturados e não estruturados",Dados estruturados e não estruturados,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,145,sim,sim,,
