priority,rank,examTitle,filename,tier,detectedYear,declaredQuestionCount,whyNeeded,status
P2_ALTA,11,DEFENSORIA PÚBLICA DO ESTADO DO RIO GRANDE DO SUL ANALISTA - ÁREA DE APOIO ESPECIALIZADO - TECNOLOGIA DA INFORMAÇÃO - DESENVOLVIMENTO DE SISTEMAS OBJETIVA E DE REDAÇÃO –,DPERS - analista_area_de_apoio_especializado_tecnologia_da_informacao_desenvolvimento_de_sistemas.pdf,A2 - muito alta,N/D,N/D,Prova de desenvolvimento/análise de sistemas com alta proximidade temática.,RECEIVED_EXACT_DEFINITIVE
P2_ALTA,12,TRIBUNAL DE JUSTIÇA DO RIO GRANDE DO NORTE ANALISTA JUDICIÁRIO - APOIO ESPECIALIZADO - ESPECIALIDADE - TECNOLOGIA DE INFORMAÇÃO - ANÁLISE DE SISTEMAS ESCRITA OBJETIVA E DISCURSIVA –,analista_judiciario_tecnologia_de_informacao_analise_de_sistemas.pdf,A2 - muito alta,N/D,N/D,Prova de desenvolvimento/análise de sistemas com alta proximidade temática.,RECEIVED_EXACT_PUBLISHED_UNQUALIFIED
P2_ALTA,13,DEFENSORIA PÚBLICA DO ESTADO DE RONDÔNIA – EDITAL 01/2025 ANALISTA DE SISTEMAS - CLASSE B,2025 DPE RO - analista_de_sistemas_classe_b.pdf,A2 - muito alta,2025,70,Prova de desenvolvimento/análise de sistemas com alta proximidade temática.,PENDING_USER_SEARCH
P2_ALTA,14,TRIBUNAL DE JUSTIÇA DO ESTADO DO RIO DE JANEIRO ANALISTA JUDICIÁRIO - TECNOLOGIA DA INFORMAÇÃO - ANALISTA DE SISTEMAS OBJETIVA E DISCURSIVA –,analista_judiciario_tecnologia_da_informacao_analista_de_sistemas.pdf,A2 - muito alta,N/D,N/D,Prova de desenvolvimento/análise de sistemas com alta proximidade temática.,PENDING_USER_SEARCH
P2_ALTA,15,TRIBUNAL DE JUSTIÇA DO DISTRITO FEDERAL E DOS TERRITÓRIOS ANALISTA JUDICIÁRIO - ANÁLISE DE SISTEMAS ESCRITA OBJETIVA E DISCURSIVA – ANALISTA JUDICIÁRIO –,analista_judiciario_analise_de_sistemas (1).pdf,A2 - muito alta,N/D,N/D,Prova de desenvolvimento/análise de sistemas com alta proximidade temática.,PENDING_USER_SEARCH
P3_SECUNDARIA,16,TRIBUNAL DE CONTAS DO ESTADO DE PERNAMBUCO OBJETIVA E DISCURSIVA – ANALISTA DE CONTROLE EXTERNO – TECNOLOGIA DA INFORMAÇÃO,TCE - PE - analista_de_controle_externo_tecnologia_da_informacao.pdf,B - alta,N/D,80,Ampliação posterior da análise de alternativas após concluir o núcleo A1/A2.,PENDING_USER_SEARCH
P3_SECUNDARIA,17,ASSEMBLEIA LEGISLATIVO DO ESTADO DO MARANHÃO TÉCNICO DE GESTÃO ADMINISTRATIVA ANALISTA DE SISTEMAS,tecnico_de_gestao_administrativa_analista_de_sistemas.pdf,B - alta,N/D,60,Ampliação posterior da análise de alternativas após concluir o núcleo A1/A2.,PENDING_USER_SEARCH
P3_SECUNDARIA,18,PARA A AMAZÔNIA AZUL TECNOLOGIAS DE DEFESA S.A. – AMAZUL ( ) ANALISTA DE DESENVOLVIMENTO DE SISTEMAS,2025 AMAZUL - analista_de_desenvolvimento_de_sistemas.pdf,B - alta,2025,60,Ampliação posterior da análise de alternativas após concluir o núcleo A1/A2.,PENDING_USER_SEARCH
P3_SECUNDARIA,19,SENADO FEDERAL – EDITAL 1 OBJETIVA E DISCURSIVA ANALISTA LEGISLATIVO - INFORMÁTICA LEGISLATIVA ANÁLISE DE SISTEMAS –,analista_legislativo_informatica_legislativa_analise_de_sistemas.pdf,B - alta,N/D,70,Ampliação posterior da análise de alternativas após concluir o núcleo A1/A2.,PENDING_USER_SEARCH
P3_SECUNDARIA,20,COMISSÃO DE VALORES MOBILIÁRIOS ANALISTA CVM - PERFIL 8 - TI - SISTEMAS E DESENVOLVIMENTO OBJETIVA DE CONHECIMENTOS BÁSICOS E DISCURSIVA –,analista_cvm_perfil_8_ti_sistemas_e_desenvolvimento_manha.pdf,B - alta,N/D,N/D,Ampliação posterior da análise de alternativas após concluir o núcleo A1/A2.,PENDING_USER_SEARCH
P3_SECUNDARIA,21,TRIBUNAL DE JUSTIÇA DE MATO GROSSO – EDITAL 74/2024 ANALISTA JUDICIÁRIO TECNOLOGIA DA INFORMAÇÃO –,analista_judiciario_tecnologia_da_informacao.pdf,B - alta,2024,70,Ampliação posterior da análise de alternativas após concluir o núcleo A1/A2.,PENDING_USER_SEARCH
P3_SECUNDARIA,22,TRIBUNAL DE JUSTIÇA DO ESTADO DE SERGIPE ANALISTA JUDICIÁRIO - ESPECIALIDADE - ANÁLISE DE SISTEMAS ESCRITA OBJETIVA –,analista_judiciario_analise_de_sistemas.pdf,B - alta,N/D,N/D,Ampliação posterior da análise de alternativas após concluir o núcleo A1/A2.,PENDING_USER_SEARCH
P3_SECUNDARIA,23,TRIBUNAL DE JUSTIÇA DO ESTADO DE MATO GROSSO DO SUL TÉCNICO DE - ANALISTA DE SISTEMAS COMPUTACIONAIS - ANALISTA DE SISTEMAS OBJETIVA –,tecnico_de_nivel_superior_analista_de_sistemas_computacionais_analista_de_sistemas.pdf,B - alta,N/D,N/D,Ampliação posterior da análise de alternativas após concluir o núcleo A1/A2.,PENDING_USER_SEARCH
P3_SECUNDARIA,24,Indústria de Material Bélico do Brasil – 2021 ANALISTA ESPECIALIZADO - ANALISTA DE SISTEMAS,analista_especializado_analista_de_sistemas.pdf,B - alta,2021,N/D,Ampliação posterior da análise de alternativas após concluir o núcleo A1/A2.,PENDING_USER_SEARCH
P3_SECUNDARIA,25,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES – EBSERH GRUPO ANALISTA DE TECNOLOGIA DA INFORMAÇÃO CÓDIGO CONTROLE - 37,EBSERH analista_de_tecnologia_da_informacao.pdf,B - alta,N/D,60,Ampliação posterior da análise de alternativas após concluir o núcleo A1/A2.,PENDING_USER_SEARCH
P3_SECUNDARIA,26,TRIBUNAL DE JUSTIÇA E TRIBUNAL DE CONTAS DO ESTADO DE RONDÔNIA M ANALISTA JUDICIÁRIO - ANALISTA DE A SISTEMAS E ANALISTA DE TECNOLOGIA DA N INFORMAÇÃO - DESENVOLVIMENTO DE H SISTEMAS Ã Escrita Objetiva e Discursiva -,analista_de_tecnologia_da_informacao_desenvolvimento_de_sistemas.pdf,B - alta,N/D,N/D,Ampliação posterior da análise de alternativas após concluir o núcleo A1/A2.,PENDING_USER_SEARCH
P3_SECUNDARIA,27,2023 ANALISTA ADMINISTRATIVO TECNOLOGIA DA INFORMAÇÃO,2023 DNIT analista_administrativo_tecnologia_da_informacao.pdf,B - alta,2023,80,Ampliação posterior da análise de alternativas após concluir o núcleo A1/A2.,PENDING_USER_SEARCH
P3_SECUNDARIA,28,MINISTÉRIO PÚBLICO DO ESTADO DE SANTA CATARINA ANALISTA EM TECNOLOGIA DA INFORMAÇÃO ESCRITA OBJETIVA –,analista_em_tecnologia_da_informacao.pdf,B - alta,N/D,N/D,Ampliação posterior da análise de alternativas após concluir o núcleo A1/A2.,PENDING_USER_SEARCH
NAO_SOLICITAR_AGORA,29,JUSTIÇA DO TRABALHO TRIBUNAL REGIONAL DO TRABALHO 16ª REGIÃO (MA) ANALISTA JUDICIÁRIO - ÁREA ADMINISTRATIVA TECNOLOGIA DA INFORMAÇÃO –,analista_judiciario_area_administrativa_tecnologia_da_informacao.pdf,C - complementar,N/D,80,Não é necessário procurar neste momento; prova complementar ou controle negativo.,DEFERRED
NAO_SOLICITAR_AGORA,30,TRIBUNAL DE CONTAS DO ESTADO DO TOCANTINS ANALISTA TÉCNICO - TECNOLOGIA DA INFORMAÇÃO ESCRITA OBJETIVA E DISCURSIVA –,analista_tecnico_tecnologia_da_informacao.pdf,C - complementar,N/D,N/D,Não é necessário procurar neste momento; prova complementar ou controle negativo.,DEFERRED
NAO_SOLICITAR_AGORA,31,Tribunal de Contas do Estado de Sergipe 60 2015 Escrita Objetiva – ANALISTA DE TECNOLOGIA DA INFORMAÇÃO - DESENVOLVIMENTO,analista_tecnolo_inform_desenv_tipo_1.pdf,C - complementar,2015,N/D,Não é necessário procurar neste momento; prova complementar ou controle negativo.,DEFERRED
NAO_SOLICITAR_AGORA,32,Tribunal de Justiça do Estado da Bahia 2014 objetiva e discursiva – Analista Judiciário - Área de Apoio Especializado - Especialidade - Tecnologia da Informação,analista_judiciario_tecnologia_da_informacao_tipo_1.pdf,C - complementar,2014,N/D,Não é necessário procurar neste momento; prova complementar ou controle negativo.,DEFERRED
NAO_SOLICITAR_AGORA,33,"TRIBUNAL REGIONAL DO TRABALHO DA 24ª REGIÃO (TRT-24) REAPLICAÇÃO OBJETIVA – ANALISTA JUDICIÁRIO ÁREA APOIO ESPECIALIZADO - TECNOLOGIA DA INFORMAÇÃO Atenção: a frase a seguir deverá ser transcrita no espaço reservado da sua folha de respostas, com sua caligrafia usual, considerando as letras maiúsculas e minúsculas. Trabalho decente não é um privilégio, mas um direito humano inalienável.",analista_judiciario_area_apoio_especializado_tecnologia_da_informacao.pdf,C - complementar,N/D,60,Não é necessário procurar neste momento; prova complementar ou controle negativo.,DEFERRED
NAO_SOLICITAR_AGORA,34,TRIBUNAL REGIONAL FEDERAL DA 1ª REGIÃO ANALISTA JUDICIÁRIO - ÁREA APOIO ESPECIALIZADO – ESPECIALIDADE: TECNOLOGIA DA INFORMAÇÃO OBJETIVA E DISCURSIVA –,analista_judiciario_area_apoio_especializado_especialidade_tecnologia_da_informacao.pdf,C - complementar,N/D,N/D,Não é necessário procurar neste momento; prova complementar ou controle negativo.,DEFERRED
NAO_SOLICITAR_AGORA,35,Fundação Regional de Saúde FUNSAÚDE-CE 2021 T ANALISTA DE TECNOLOGIA DA INFORMAÇÃO – TI E INFRAESTRUTURA DE INFORMÁTICA,2021 FUNSAUDE CE - analista_da_tecnologia_da_informacao.pdf,D - baixa/controle negativo,2021,N/D,Não é necessário procurar neste momento; prova complementar ou controle negativo.,DEFERRED
NAO_SOLICITAR_AGORA,36,TRIBUNAL DE JUSTIÇA DO ESTADO DE MATO GROSSO DO SUL TÉCNICO DE - ANALISTA DE SISTEMAS COMPUTACIONAIS - ANALISTA DE SUPORTE DE TI OBJETIVA –,tecnico_de_nivel_superior_analista_de_sistemas_computacionais_analista_de_suporte_de_ti.pdf,D - baixa/controle negativo,N/D,N/D,Não é necessário procurar neste momento; prova complementar ou controle negativo.,DEFERRED
NAO_SOLICITAR_AGORA,37,SENADO FEDERAL – EDITAL 1 OBJETIVA E DISCURSIVA ANALISTA LEGISLATIVO - INFORMÁTICA LEGISLATIVA ANÁLISE DE SUPORTE DE SISTEMAS –,analista_legislativo_informatica_legislativa_analise_de_suporte_de_sistemas.pdf,D - baixa/controle negativo,N/D,70,Não é necessário procurar neste momento; prova complementar ou controle negativo.,DEFERRED
